manufacturer_name,product_count
A Touch of the Past,4
Alessio Miniatures ,163
Alleen's - Glue & Adhesives ,23
American Craft Products ,12
Andi Mini Brick ,19
Ashdown Publishing ,5
Auralight ,8
Aztec ,3421
Barbara O'Brien ,139
Beacon Chemical ,3
Black Diamond ,64
Boynton Books ,26
Brodnax Prints ,674
By Barb ,671
Carpet Tape ,1
Carradus ,395
Cats Paw Miniatures ,114
Chrysnbon ,315
Chrysolite ,30
Cir-Kit Concepts ,365
Classic By Handley ,831
Cottage Industies ,1
Couches ,2
Creative Accents by Bill Lankford ,214
D Ann Ruff ,14
DAP Adhesives ,11
Darice ,5
Dee's Delights ,77
Dollhouse Shoppe ,460
Dougless ,3
Dover Books ,47
Earth and Tree ,6
Excel Hobby Balde ,212
Falcon Collectible Miniatures ,3751
Famous Floors ,33
Fantasy Craft ,37
Farrow Industries ,469
Fibre Craft ,6
Glue ,3
Grandmother Stover's Yes Glue ,2
Handley House ,244
Horseman Dolls ,12
Houseworks ,829
Hudson River Miniatures ,656
International Miniatures ,647
Island Crafts ,738
Jackson Miniatures ,127
Jacquard ,7
Jeannetta Kendall ,60
Joshua's ,78
K S Engineering ,83
Kemper Tools ,79
Kimberly House ,23
Laser Tech ,145
Loew Cornell ,5
Magestic Mansions ,3
Magic Systems ,22
McGhee's Miniatures ,1600
Midwest Products ,238
Mini Graphics ,427
Mini Magic ,31
Mini Tiques ,1
Miniature Corner ,735
Miniature House ,211
Model Builders Supply ,205
Motts ,1
Multi Minis ,1681
Natasha Mini Decoupage ,18
New Creations ,841
Northeastern Scale Models ,411
Northwest Shortline ,22
Old English Doll House Company ,21
Olde Mountain Miniatures ,119
Omnistick ,1
Orzene Brick Mortor & Quil Stik Wax ,3
Painters Markers,12
Painter's Palette Paint ,85
Palmer Paints ,1
Plaid ,29
Precision Products ,97
Proedge Tools ,51
Promotion Sets ,2
Raindrop Miniatures ,244
Rita Falco Sings ,7
Room Boxes ,1
Ruler ,2
Saint Louis Crafts ,5
Scott Publications ,1
Simulated Leadlight in Miniature ,33
Skycrest ,29
Small Wonders ,15
Sponge Brushes ,15
Sterling Publications ,4
Susan Sirkis ,33
T & E Beownawell ,1
Testors,5
Tiny Details,429
Tiny Turnings,5
Treasure View,3
Triangle Manufactoring ,4
Unique Miniatures ,302
Vermars ,78
Weldbond ,4
Wood Items ,10
Woodland Scenics ,135
World Model ,418
Xacto Tools ,22
Zap-A-Gap ,20
